在 tabu-search 第 187 次的遞迴
總距離 = 1214.16, 車輛總數 = 11, 總成本 = 112215.08

Car ID: 0
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 59,   A = 17.80,   B = 17.80,   W = 0.00,   R = 172,   MPF = 184.20,   TWT = 0.00,   MPB = 0.80
Node: 61,   A = 36.80,   B = 36.80,   W = 0.00,   R = 159,   MPF = 95.20,   TWT = 0.00,   MPB = 7.80
Node: 45,   A = 62.03,   B = 62.03,   W = 0.00,   R = 143,   MPF = 36.97,   TWT = 0.00,   MPB = 8.38
Node: 88,   A = 96.44,   B = 96.44,   W = 0.00,   R = 134,   MPF = 10.56,   TWT = 0.00,   MPB = 8.38
Node: 10,   A = 115.38,   B = 115.38,   W = 0.00,   R = 118,   MPF = 34.62,   TWT = 0.00,   MPB = 8.38
Node: 90,   A = 132.45,   B = 132.45,   W = 0.00,   R = 115,   MPF = 20.55,   TWT = 0.00,   MPB = 47.07
Node: 32,   A = 146.92,   B = 146.92,   W = 0.00,   R = 92,   MPF = 39.08,   TWT = 0.00,   MPB = 47.07
Node: 70,   A = 170.07,   B = 170.07,   W = 0.00,   R = 87,   MPF = 27.93,   TWT = 0.00,   MPB = 47.07
Node: 31,   A = 187.28,   B = 187.28,   W = 0.00,   R = 60,   MPF = 10.72,   TWT = 0.00,   MPB = 170.28
Node: 0,   A = 214.74,   B = 214.74,   W = 0.00,   R = 200,   MPF = 15.26,   TWT = 0.00,   MPB = 214.74
Node: 0,   A = 214.74,   B = 214.74,   W = 0.00,   R = 200,   MPF = 15.26,   TWT = 0.00,   MPB = 214.74


Car ID: 3
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 230.00,   TWT = 0.00,   MPB = 0.00
Node: 91,   A = 25.61,   B = 25.61,   W = 0.00,   R = 199,   MPF = 168.39,   TWT = 0.00,   MPB = 0.61
Node: 16,   A = 40.71,   B = 40.71,   W = 0.00,   R = 180,   MPF = 98.29,   TWT = 0.00,   MPB = 4.19
Node: 86,   A = 57.03,   B = 57.03,   W = 0.00,   R = 145,   MPF = 90.97,   TWT = 0.00,   MPB = 4.19
Node: 44,   A = 75.09,   B = 75.09,   W = 0.00,   R = 127,   MPF = 12.91,   TWT = 0.00,   MPB = 4.19
Node: 38,   A = 95.91,   B = 95.91,   W = 0.00,   R = 111,   MPF = 5.09,   TWT = 0.00,   MPB = 4.19
Node: 43,   A = 124.02,   B = 124.02,   W = 0.00,   R = 104,   MPF = 60.98,   TWT = 0.00,   MPB = 4.19
Node: 14,   A = 144.65,   B = 144.65,   W = 0.00,   R = 84,   MPF = 42.35,   TWT = 0.00,   MPB = 4.19
Node: 100,   A = 163.19,   B = 163.19,   W = 0.00,   R = 67,   MPF = 31.81,   TWT = 0.00,   MPB = 4.19
