Iter = 0, 瞷︽秆cost = 112276.68, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 112276.68, 办秆Θセ = 112276.68
Iter = 1, 瞷︽秆cost = 112412.25, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 2, 瞷︽秆cost = 112415.51, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 3, 瞷︽秆cost = 112437.86, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 4, 瞷︽秆cost = 112423.12, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 5, 瞷︽秆cost = 112391.40, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 6, 瞷︽秆cost = 112421.63, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 7, 瞷︽秆cost = 112413.38, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 8, 瞷︽秆cost = 112416.23, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 9, 瞷︽秆cost = 112391.06, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 10, 瞷︽秆cost = 112359.69, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 11, 瞷︽秆cost = 112428.20, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 12, 瞷︽秆cost = 112398.27, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
