在 tabu-search 第 628 次的遞迴
總距離 = 988.38, 車輛總數 = 3, 總成本 = 31991.73

Car ID: 0
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 500,   MPF = 1000.00,   TWT = 0.00,   MPB = 0.00
Node: 28,   A = 6.32,   B = 6.32,   W = 0.00,   R = 484,   MPF = 519.68,   TWT = 0.00,   MPB = 0.00
Node: 29,   A = 39.86,   B = 39.86,   W = 0.00,   R = 475,   MPF = 473.14,   TWT = 0.00,   MPB = 0.00
Node: 39,   A = 80.13,   B = 80.13,   W = 0.00,   R = 444,   MPF = 574.87,   TWT = 0.00,   MPB = 0.00
Node: 23,   A = 98.73,   B = 98.73,   W = 0.00,   R = 415,   MPF = 415.27,   TWT = 0.00,   MPB = 0.00
Node: 67,   A = 120.73,   B = 120.73,   W = 0.00,   R = 390,   MPF = 454.27,   TWT = 0.00,   MPB = 0.00
Node: 75,   A = 149.70,   B = 149.70,   W = 0.00,   R = 372,   MPF = 369.30,   TWT = 0.00,   MPB = 0.00
Node: 21,   A = 169.55,   B = 169.55,   W = 0.00,   R = 361,   MPF = 339.45,   TWT = 0.00,   MPB = 0.00
Node: 73,   A = 182.71,   B = 182.71,   W = 0.00,   R = 352,   MPF = 381.29,   TWT = 0.00,   MPB = 0.00
Node: 40,   A = 201.65,   B = 201.65,   W = 0.00,   R = 343,   MPF = 394.35,   TWT = 0.00,   MPB = 0.00
Node: 95,   A = 226.68,   B = 226.68,   W = 0.00,   R = 323,   MPF = 306.32,   TWT = 0.00,   MPB = 0.00
Node: 92,   A = 240.29,   B = 240.29,   W = 0.00,   R = 321,   MPF = 344.71,   TWT = 0.00,   MPB = 0.00
Node: 99,   A = 254.76,   B = 254.76,   W = 0.00,   R = 312,   MPF = 346.24,   TWT = 0.00,   MPB = 0.00
Node: 85,   A = 270.42,   B = 270.42,   W = 0.00,   R = 271,   MPF = 353.58,   TWT = 0.00,   MPB = 0.00
Node: 61,   A = 284.89,   B = 284.89,   W = 0.00,   R = 258,   MPF = 256.11,   TWT = 0.00,   MPB = 0.00
Node: 86,   A = 304.89,   B = 304.89,   W = 0.00,   R = 223,   MPF = 318.11,   TWT = 0.00,   MPB = 0.00
