在 tabu-search 第 492 次的遞迴
總距離 = 1453.11, 車輛總數 = 12, 總成本 = 122494.57

Car ID: 1
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 240.00,   TWT = 0.00,   MPB = 0.00
Node: 72,   A = 27.46,   B = 27.46,   W = 0.00,   R = 192,   MPF = 59.54,   TWT = 0.00,   MPB = 0.46
Node: 61,   A = 55.46,   B = 55.46,   W = 0.00,   R = 183,   MPF = 55.54,   TWT = 0.00,   MPB = 2.52
Node: 81,   A = 73.52,   B = 73.52,   W = 0.00,   R = 173,   MPF = 57.48,   TWT = 0.00,   MPB = 2.52
Node: 71,   A = 99.80,   B = 99.80,   W = 0.00,   R = 159,   MPF = 10.20,   TWT = 0.00,   MPB = 19.75
Node: 94,   A = 120.43,   B = 120.43,   W = 0.00,   R = 136,   MPF = 19.57,   TWT = 0.00,   MPB = 19.75
Node: 96,   A = 136.75,   B = 136.75,   W = 0.00,   R = 110,   MPF = 40.25,   TWT = 0.00,   MPB = 19.75
Node: 54,   A = 152.75,   B = 152.75,   W = 0.00,   R = 94,   MPF = 31.25,   TWT = 0.00,   MPB = 28.75
Node: 0,   A = 180.78,   B = 180.78,   W = 0.00,   R = 200,   MPF = 59.22,   TWT = 0.00,   MPB = 180.78


Car ID: 3
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 240.00,   TWT = 0.00,   MPB = 0.00
Node: 63,   A = 39.05,   B = 39.05,   W = 0.00,   R = 194,   MPF = 59.95,   TWT = 0.00,   MPB = 0.00
Node: 76,   A = 58.48,   B = 60.00,   W = 1.52,   R = 163,   MPF = 60.00,   TWT = 1.52,   MPB = 0.00
Node: 51,   A = 79.43,   B = 79.43,   W = 0.00,   R = 144,   MPF = 48.57,   TWT = 1.52,   MPB = 11.43
Node: 85,   A = 97.97,   B = 97.97,   W = 0.00,   R = 142,   MPF = 34.03,   TWT = 1.52,   MPB = 20.68
Node: 84,   A = 116.46,   B = 116.46,   W = 0.00,   R = 124,   MPF = 24.54,   TWT = 1.52,   MPB = 20.68
Node: 56,   A = 135.68,   B = 135.68,   W = 0.00,   R = 105,   MPF = 39.32,   TWT = 1.52,   MPB = 20.68
Node: 66,   A = 154.90,   B = 154.90,   W = 0.00,   R = 89,   MPF = 23.10,   TWT = 1.52,   MPB = 36.90
Node: 0,   A = 177.94,   B = 177.94,   W = 0.00,   R = 200,   MPF = 62.06,   TWT = 1.52,   MPB = 177.94


Car ID: 5
Node: 0,   A = 0.00,   B = 0.00,   W = 0.00,   R = 200,   MPF = 240.00,   TWT = 0.00,   MPB = 0.00
