Iter = 0, 瞷︽秆cost = 122494.57, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 122494.57, 办秆Θセ = 122494.57
Iter = 1, 瞷︽秆cost = 122586.85, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 2, 瞷︽秆cost = 122696.23, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 3, 瞷︽秆cost = 122671.77, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 4, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 5, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 6, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 7, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 8, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 9, 瞷︽秆cost = 122678.19, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 10, 瞷︽秆cost = 122723.45, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 11, 瞷︽秆cost = 122719.64, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 12, 瞷︽秆cost = 122671.75, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 13, 瞷︽秆cost = 122665.20, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 14, 瞷︽秆cost = 122721.53, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 15, 瞷︽秆cost = 122721.53, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 16, 瞷︽秆cost = 122721.53, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 17, 瞷︽秆cost = 122721.53, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 18, 瞷︽秆cost = 122721.53, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 19, 瞷︽秆cost = 122686.81, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 20, 瞷︽秆cost = 122686.56, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 21, 瞷︽秆cost = 122635.61, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 22, 瞷︽秆cost = 122614.79, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 23, 瞷︽秆cost = 122637.34, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 24, 瞷︽秆cost = 122586.65, ó进计 = 12, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 25, 瞷︽秆cost = 122586.65, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 26, 瞷︽秆cost = 122586.65, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 27, 瞷︽秆cost = 122586.65, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 28, 瞷︽秆cost = 122586.65, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 29, 瞷︽秆cost = 122584.29, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 30, 瞷︽秆cost = 122541.62, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 31, 瞷︽秆cost = 122581.14, ó进计 = 12, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 32, 瞷︽秆cost = 122639.30, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 33, 瞷︽秆cost = 122639.74, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 34, 瞷︽秆cost = 122661.55, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 35, 瞷︽秆cost = 122684.26, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 36, 瞷︽秆cost = 122684.26, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 37, 瞷︽秆cost = 122684.26, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 38, 瞷︽秆cost = 122686.34, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 39, 瞷︽秆cost = 122698.45, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 40, 瞷︽秆cost = 122698.45, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 41, 瞷︽秆cost = 122659.47, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 42, 瞷︽秆cost = 122628.47, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 43, 瞷︽秆cost = 122648.61, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 44, 瞷︽秆cost = 122653.13, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 45, 瞷︽秆cost = 122653.13, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 46, 瞷︽秆cost = 122653.13, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 47, 瞷︽秆cost = 122653.13, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 48, 瞷︽秆cost = 122647.30, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 49, 瞷︽秆cost = 122666.99, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 50, 瞷︽秆cost = 122687.30, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 51, 瞷︽秆cost = 122633.56, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 52, 瞷︽秆cost = 122594.64, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 53, 瞷︽秆cost = 122619.35, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 54, 瞷︽秆cost = 122634.17, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 55, 瞷︽秆cost = 122627.77, ó进计 = 12, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 56, 瞷︽秆cost = 122625.23, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 57, 瞷︽秆cost = 122605.81, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 58, 瞷︽秆cost = 122575.98, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 59, 瞷︽秆cost = 122576.10, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 60, 瞷︽秆cost = 122619.16, ó进计 = 12, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 61, 瞷︽秆cost = 122707.43, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 62, 瞷︽秆cost = 122621.53, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 63, 瞷︽秆cost = 122628.65, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 64, 瞷︽秆cost = 122636.13, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 65, 瞷︽秆cost = 122636.13, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 66, 瞷︽秆cost = 122636.13, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 67, 瞷︽秆cost = 122656.39, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 68, 瞷︽秆cost = 122652.20, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 69, 瞷︽秆cost = 122630.32, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
